GASOLINA;ANYO;MES;PRECIO
95;2000;1;0.74923
95;2000;2;0.76656
95;2000;3;0.79436
95;2000;4;0.80112
95;2000;5;0.81453
95;2000;6;0.8404
95;2000;7;0.84086
95;2000;8;0.83463
95;2000;9;0.83631
95;2000;10;0.84519
95;2000;11;0.8651
95;2000;12;0.84858
95;2001;1;0.78752
95;2001;2;0.80982
95;2001;3;0.80693
95;2001;4;0.82441
95;2001;5;0.85664
95;2001;6;0.88087
95;2001;7;0.82803
95;2001;8;0.80655
95;2001;9;0.8125
95;2001;10;0.77869
95;2001;11;0.74001
95;2001;12;0.73186
95;2002;1;0.76784
95;2002;2;0.77053
95;2002;3;0.80359
95;2002;4;0.84867
95;2002;5;0.84071
95;2002;6;0.81294
95;2002;7;0.82238
95;2002;8;0.82348
95;2002;9;0.83442
95;2002;10;0.83991
95;2002;11;0.78774
95;2002;12;0.80152
95;2003;1;0.83153
95;2003;2;0.84953
95;2003;3;0.86369
95;2003;4;0.82456
95;2003;5;0.79803
95;2003;6;0.79458
95;2003;7;0.81674
95;2003;8;0.82857
95;2003;9;0.8234
95;2003;10;0.79953
95;2003;11;0.79957
95;2003;12;0.79811
95;2004;1;0.80472
95;2004;2;0.81318
95;2004;3;0.82887
95;2004;4;0.85179
95;2004;5;0.899
95;2004;6;0.8888
95;2004;7;0.88854
95;2004;8;0.90923
95;2004;9;0.90192
95;2004;10;0.93172
95;2004;11;0.89794
95;2004;12;0.86832
95;2005;1;0.84413
95;2005;2;0.88357
95;2005;3;0.90236
95;2005;4;0.93313
95;2005;5;0.92872
95;2005;6;0.96509
95;2005;7;1.0
95;2005;8;1.034270
95;2005;9;1.073240
95;2005;10;1.051270
95;2005;11;0.99238
95;2005;12;0.98034
95;2006;1;1.00083
95;2006;2;0.9827
95;2006;3;1.01727
95;2006;4;1.08431
95;2006;5;1.09848
95;2006;6;1.09383
95;2006;7;1.13065
95;2006;8;1.10566
95;2006;9;1.00658
95;2006;10;0.96669
95;2006;11;0.95638
95;2006;12;0.96544
95;2007;1;0.9479
95;2007;2;0.9572
95;2007;3;1.0039
95;2007;4;1.0408
95;2007;5;1.0854
95;2007;6;1.0912
95;2007;7;1.088
95;2007;8;1.057
95;2007;9;1.0625
95;2007;10;1.0636
95;2007;11;1.0928
95;2007;12;1.0992
95;2008;1;1.10755
95;2008;2;1.10557
95;2008;3;1.12605
95;2008;4;1.13469
95;2008;5;1.19335
95;2008;6;1.24446
95;2008;7;1.26396
95;2008;8;1.20119
95;2008;9;1.17881
95;2008;10;1.09673
95;2008;11;0.95722
95;2008;12;0.86957
95;2009;1;0.86077
95;2009;2;0.90915
95;2009;3;0.90973
95;2009;4;0.94743
95;2009;5;0.97546
95;2009;6;1.05353
95;2009;7;1.05504
95;2009;8;1.08733
95;2009;9;1.05913
95;2009;10;1.04489
95;2009;11;1.07532
95;2009;12;1.06322
95;2010;1;1.09781
95;2010;2;1.10183
95;2010;3;1.14503
95;2010;4;1.17765
95;2010;5;1.17881
95;2010;6;1.1655
95;2010;7;1.17134
95;2010;8;1.16514
95;2010;9;1.16627
95;2010;10;1.16737
95;2010;11;1.18423
95;2010;12;1.23451
95;2011;1;1.26878
95;2011;2;1.27311
95;2011;3;1.31727
95;2011;4;1.35272
95;2011;5;1.35022
95;2011;6;1.3243
95;2011;7;1.33563
95;2011;8;1.32941
95;2011;9;1.34554
95;2011;10;1.31858
95;2011;11;1.30391
95;2011;12;1.29659
95;2012;1;1.35669
95;2012;2;1.395
95;2012;3;1.458
95;2012;4;1.497
95;2012;5;1.426
95;2012;6;1.376
95;2012;7;1.396
95;2012;8;1.473
95;2012;9;1.503
95;2012;10;1.464
95;2012;11;1.375
95;2012;12;1.377
95;2013;1;1.413
95;2013;2;1.468
95;2013;3;1.465
95;2013;4;1.44
95;2013;5;1.41
95;2013;6;1.43
95;2013;7;1.445
95;2013;8;1.456
95;2013;9;1.445
95;2013;10;1.404
95;2013;11;1.392
95;2013;12;1.4
95;2014;1;1.393
95;2014;2;1.397
95;2014;3;1.397
95;2014;4;1.416
95;2014;5;1.422
95;2014;6;1.438
95;2014;7;1.437
95;2014;8;1.41
95;2014;9;1.41
95;2014;10;1.363
95;2014;11;1.319
95;2014;12;1.201
95;2015;1;1.138
95;2015;2;1.178
GASOLEO_A;2000;1;0.62109
GASOLEO_A;2000;2;0.65243
GASOLEO_A;2000;3;0.66705
GASOLEO_A;2000;4;0.67394
GASOLEO_A;2000;5;0.66785
GASOLEO_A;2000;6;0.67886
GASOLEO_A;2000;7;0.67861
GASOLEO_A;2000;8;0.68918
GASOLEO_A;2000;9;0.71827
GASOLEO_A;2000;10;0.74548
GASOLEO_A;2000;11;0.77641
GASOLEO_A;2000;12;0.77607
GASOLEO_A;2001;1;0.72504
GASOLEO_A;2001;2;0.7021
GASOLEO_A;2001;3;0.69067
GASOLEO_A;2001;4;0.68364
GASOLEO_A;2001;5;0.6988
GASOLEO_A;2001;6;0.70222
GASOLEO_A;2001;7;0.70907
GASOLEO_A;2001;8;0.70133
GASOLEO_A;2001;9;0.70119
GASOLEO_A;2001;10;0.68474
GASOLEO_A;2001;11;0.65709
GASOLEO_A;2001;12;0.64581
GASOLEO_A;2002;1;0.67338
GASOLEO_A;2002;2;0.67129
GASOLEO_A;2002;3;0.68794
GASOLEO_A;2002;4;0.71032
GASOLEO_A;2002;5;0.7071
GASOLEO_A;2002;6;0.67836
GASOLEO_A;2002;7;0.67888
GASOLEO_A;2002;8;0.68079
GASOLEO_A;2002;9;0.70309
GASOLEO_A;2002;10;0.71358
GASOLEO_A;2002;11;0.66796
GASOLEO_A;2002;12;0.68478
GASOLEO_A;2003;1;0.72288
GASOLEO_A;2003;2;0.72709
GASOLEO_A;2003;3;0.7743
GASOLEO_A;2003;4;0.71945
GASOLEO_A;2003;5;0.67907
GASOLEO_A;2003;6;0.66225
GASOLEO_A;2003;7;0.67023
GASOLEO_A;2003;8;0.68195
GASOLEO_A;2003;9;0.67507
GASOLEO_A;2003;10;0.68428
GASOLEO_A;2003;11;0.6843
GASOLEO_A;2003;12;0.69232
GASOLEO_A;2004;1;0.701
GASOLEO_A;2004;2;0.68119
GASOLEO_A;2004;3;0.69606
GASOLEO_A;2004;4;0.71669
GASOLEO_A;2004;5;0.7546
GASOLEO_A;2004;6;0.74276
GASOLEO_A;2004;7;0.753
GASOLEO_A;2004;8;0.78325
GASOLEO_A;2004;9;0.7929
GASOLEO_A;2004;10;0.84993
GASOLEO_A;2004;11;0.8228
GASOLEO_A;2004;12;0.80758
GASOLEO_A;2005;1;0.80808
GASOLEO_A;2005;2;0.8164
GASOLEO_A;2005;3;0.8626
GASOLEO_A;2005;4;0.88575
GASOLEO_A;2005;5;0.8592
GASOLEO_A;2005;6;0.90913
GASOLEO_A;2005;7;0.93497
GASOLEO_A;2005;8;0.95057
GASOLEO_A;2005;9;0.97381
GASOLEO_A;2005;10;0.97417
GASOLEO_A;2005;11;0.94574
GASOLEO_A;2005;12;0.91764
GASOLEO_A;2006;1;0.92994
GASOLEO_A;2006;2;0.9398
GASOLEO_A;2006;3;0.95463
GASOLEO_A;2006;4;0.99347
GASOLEO_A;2006;5;1.00193
GASOLEO_A;2006;6;0.98703
GASOLEO_A;2006;7;1.00374
GASOLEO_A;2006;8;1.00047
GASOLEO_A;2006;9;0.95337
GASOLEO_A;2006;10;0.92113
GASOLEO_A;2006;11;0.90691
GASOLEO_A;2006;12;0.90925
GASOLEO_A;2007;1;0.8902
GASOLEO_A;2007;2;0.8985
GASOLEO_A;2007;3;0.919
GASOLEO_A;2007;4;0.943
GASOLEO_A;2007;5;0.9566
GASOLEO_A;2007;6;0.9658
GASOLEO_A;2007;7;0.9775
GASOLEO_A;2007;8;0.97
GASOLEO_A;2007;9;0.9879
GASOLEO_A;2007;10;1.0047
GASOLEO_A;2007;11;1.0501
GASOLEO_A;2007;12;1.0715
GASOLEO_A;2008;1;1.06864
GASOLEO_A;2008;2;1.07074
GASOLEO_A;2008;3;1.13262
GASOLEO_A;2008;4;1.14868
GASOLEO_A;2008;5;1.23946
GASOLEO_A;2008;6;1.29702
GASOLEO_A;2008;7;1.31558
GASOLEO_A;2008;8;1.22653
GASOLEO_A;2008;9;1.1829
GASOLEO_A;2008;10;1.11266
GASOLEO_A;2008;11;1.00188
GASOLEO_A;2008;12;0.90054
GASOLEO_A;2009;1;0.86457
GASOLEO_A;2009;2;0.8663
GASOLEO_A;2009;3;0.83997
GASOLEO_A;2009;4;0.86485
GASOLEO_A;2009;5;0.86969
GASOLEO_A;2009;6;0.92455
GASOLEO_A;2009;7;0.92926
GASOLEO_A;2009;8;0.9615
GASOLEO_A;2009;9;0.94399
GASOLEO_A;2009;10;0.94388
GASOLEO_A;2009;11;0.97201
GASOLEO_A;2009;12;0.96131
GASOLEO_A;2010;1;0.99564
GASOLEO_A;2010;2;0.99371
GASOLEO_A;2010;3;1.03112
GASOLEO_A;2010;4;1.07526
GASOLEO_A;2010;5;1.09061
GASOLEO_A;2010;6;1.08475
GASOLEO_A;2010;7;1.08421
GASOLEO_A;2010;8;1.08644
GASOLEO_A;2010;9;1.09171
GASOLEO_A;2010;10;1.09569
GASOLEO_A;2010;11;1.11453
GASOLEO_A;2010;12;1.15916
GASOLEO_A;2011;1;1.20159
GASOLEO_A;2011;2;1.23308
GASOLEO_A;2011;3;1.28631
GASOLEO_A;2011;4;1.29867
GASOLEO_A;2011;5;1.25679
GASOLEO_A;2011;6;1.2596
GASOLEO_A;2011;7;1.26468
GASOLEO_A;2011;8;1.25564
GASOLEO_A;2011;9;1.26919
GASOLEO_A;2011;10;1.27604
GASOLEO_A;2011;11;1.30705
GASOLEO_A;2011;12;1.29523
GASOLEO_A;2012;1;1.33353
GASOLEO_A;2012;2;1.346
GASOLEO_A;2012;3;1.385
GASOLEO_A;2012;4;1.383
GASOLEO_A;2012;5;1.357
GASOLEO_A;2012;6;1.302
GASOLEO_A;2012;7;1.333
GASOLEO_A;2012;8;1.394
GASOLEO_A;2012;9;1.433
GASOLEO_A;2012;10;1.413
GASOLEO_A;2012;11;1.358
GASOLEO_A;2012;12;1.347
GASOLEO_A;2013;1;1.37
GASOLEO_A;2013;2;1.394
GASOLEO_A;2013;3;1.381
GASOLEO_A;2013;4;1.349
GASOLEO_A;2013;5;1.323
GASOLEO_A;2013;6;1.334
GASOLEO_A;2013;7;1.355
GASOLEO_A;2013;8;1.365
GASOLEO_A;2013;9;1.385
GASOLEO_A;2013;10;1.355
GASOLEO_A;2013;11;1.342
GASOLEO_A;2013;12;1.354
GASOLEO_A;2014;1;1.342
GASOLEO_A;2014;2;1.339
GASOLEO_A;2014;3;1.325
GASOLEO_A;2014;4;1.324
GASOLEO_A;2014;5;1.323
GASOLEO_A;2014;6;1.331
GASOLEO_A;2014;7;1.326
GASOLEO_A;2014;8;1.323
GASOLEO_A;2014;9;1.321
GASOLEO_A;2014;10;1.282
GASOLEO_A;2014;11;1.253
GASOLEO_A;2014;12;1.149
GASOLEO_A;2015;1;1.074
GASOLEO_A;2015;2;1.108
